File: output/sample_CN_S06_Kuser.out                   UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   33.03 mm
SCS storm type= user1
Storm duration=   6.0 h
SCS Curve number=  81.0
Watershed area=    0.24 ha
Maximum flow path length=   31.00 m
Average slope of flow path=   12.15 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=   25.38 mm=   60.91 m3
Initial Abstraction=   11.92 mm
Concentration time=    0.02 h=     1.42 min
  
 SCS  0.3-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
    3.6755    0.0013    1.8954
    3.6812    0.0013    1.8823
    3.6869    0.0012    1.8540
    3.6926    0.0012    1.8234
    3.6982    0.0012    1.8004
    3.7039    0.0012    1.7869
    3.7096    0.0012    1.7807
    3.7153    0.0012    1.7789
    3.7209    0.0012    1.7795
    3.7266    0.0012    1.7812
    3.7323    0.0012    1.7834
    3.7380    0.0012    1.7858
    3.7436    0.0012    1.7883
    3.7493    0.0012    1.7908
    3.7550    0.0012    1.7934
    3.7607    0.0012    1.7915
    3.7663    0.0012    1.7752
    3.7720    0.0012    1.7492
    3.7777    0.0011    1.7249
    3.7834    0.0011    1.7083
    3.7891    0.0011    1.6992
    3.7947    0.0011    1.6954
    3.8004    0.0011    1.6947
    3.8061    0.0011    1.6956
    3.8118    0.0011    1.6972
    3.8174    0.0011    1.6992
    3.8231    0.0011    1.7013
    3.8288    0.0011    1.7035
    3.8345    0.0011    1.7057
    3.8401    0.0011    1.7076
    3.8458    0.0011    1.7035
    3.8515    0.0011    1.6843
    3.8572    0.0011    1.6591
    3.8628    0.0011    1.6384
    3.8685    0.0011    1.6254
    3.8742    0.0011    1.6189
    3.8799    0.0011    1.6166
    3.8855    0.0011    1.6165
    3.8912    0.0011    1.6175
    3.8969    0.0011    1.6190
    3.9026    0.0011    1.6208
    3.9082    0.0011    1.6226
    3.9139    0.0011    1.6245
    3.9196    0.0011    1.6264
    3.9253    0.0011    1.6267
    3.9309    0.0011    1.6196
    3.9366    0.0011    1.6025
    3.9423    0.0011    1.5831
    3.9480    0.0010    1.5683
    3.9536    0.0010    1.5596
    3.9593    0.0010    1.5555
    3.9650    0.0010    1.5542
    3.9707    0.0010    1.5546
    3.9763    0.0010    1.5557
    3.9820    0.0010    1.5571
    3.9877    0.0010    1.5587
    3.9934    0.0010    1.5603
    3.9990    0.0010    1.5620
    4.0047    0.0010    1.5636
    4.0104    0.0010    1.5625
    4.0161    0.0010    1.5517
    4.0217    0.0010    1.5334
    4.0274    0.0010    1.5157
    4.0331    0.0010    1.5031
    4.0388    0.0010    1.4961
    4.0445    0.0010    1.4930
    4.0501    0.0010    1.4923
    4.0558    0.0010    1.4927
    4.0615    0.0010    1.4938
    4.0672    0.0010    1.4951
    4.0728    0.0010    1.4965
    4.0785    0.0010    1.4979
    4.0842    0.0010    1.4994
    4.0899    0.0010    1.5009
    4.0955    0.0010    1.4990
    4.1012    0.0010    1.4875
    4.1069    0.0010    1.4718
    4.1126    0.0010    1.4585
    4.1182    0.0010    1.4501
    4.1239    0.0010    1.4459
    4.1296    0.0010    1.4444
    4.1353    0.0010    1.4444
    4.1409    0.0010    1.4451
    4.1466    0.0010    1.4462
    4.1523    0.0010    1.4474
    4.1580    0.0010    1.4487
    4.1636    0.0010    1.4500
    4.1693    0.0010    1.4513
    4.1750    0.0010    1.4518
    4.1807    0.0010    1.4473
    4.1863    0.0010    1.4350
    4.1920    0.0009    1.4206
    4.1977    0.0009    1.4094
    4.2034    0.0009    1.4026
    4.2090    0.0009    1.3994
    4.2147    0.0009    1.3983
    4.2204    0.0009    1.3985
    4.2261    0.0009    1.3992
    4.2317    0.0009    1.4002
    4.2374    0.0009    1.4014
    4.2431    0.0009    1.4025
    4.2488    0.0009    1.4037
    4.2544    0.0009    1.4049
    4.2601    0.0009    1.4045
    4.2658    0.0009    1.3982
    4.2715    0.0009    1.3865
    4.2771    0.0009    1.3748
    4.2828    0.0009    1.3663
    4.2885    0.0009    1.3615
    4.2942    0.0009    1.3594
    4.2999    0.0009    1.3589
    4.3055    0.0009    1.3593
    4.3112    0.0009    1.3601
    4.3169    0.0009    1.3610
    4.3226    0.0009    1.3621
    4.3282    0.0009    1.3632
    4.3339    0.0009    1.3642
    4.3396    0.0009    1.3653
    4.3453    0.0009    1.3639
    4.3509    0.0009    1.3549
    4.3566    0.0009    1.3420
    4.3623    0.0009    1.3306
    4.3680    0.0009    1.3232
    4.3736    0.0009    1.3193
