File: output/class.out                                 UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   88.00 mm
SCS storm type= user 
Storm duration=   6.0 h
SCS Curve number=  87.0
Watershed area=    0.10 ha
Maximum flow path length=   21.10 m
Average slope of flow path=    4.20 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=  489.83 mm=  489.83 m3
Initial Abstraction=    7.59 mm
Concentration time=    0.02 h=     1.44 min
  
 SCS  0.3-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
    1.3979    0.0018    6.4437
    1.4037    0.0018    6.4717
    1.4094    0.0018    6.4996
    1.4152    0.0018    6.5273
    1.4210    0.0018    6.5549
    1.4268    0.0018    6.5823
    1.4326    0.0018    6.6097
    1.4383    0.0018    6.6368
    1.4441    0.0019    6.6639
    1.4499    0.0019    6.6908
    1.4557    0.0019    6.7175
    1.4614    0.0019    6.7442
    1.4672    0.0019    6.7707
    1.4730    0.0019    6.7971
    1.4788    0.0019    6.8233
    1.4845    0.0019    6.8494
    1.4903    0.0019    6.8754
    1.4961    0.0019    6.9013
    1.5019    0.0019    6.9270
    1.5077    0.0019    6.9526
    1.5134    0.0019    6.9781
    1.5192    0.0019    7.0035
    1.5250    0.0020    7.0287
    1.5308    0.0020    7.0538
    1.5365    0.0020    7.0788
    1.5423    0.0020    7.1037
    1.5481    0.0020    7.1285
    1.5539    0.0020    7.1531
    1.5597    0.0020    7.1776
    1.5654    0.0020    7.2020
    1.5712    0.0020    7.2263
    1.5770    0.0020    7.2505
    1.5828    0.0020    7.2745
    1.5885    0.0020    7.2985
    1.5943    0.0020    7.3223
    1.6001    0.0020    7.3460
    1.6059    0.0020    7.3696
    1.6116    0.0021    7.3931
    1.6174    0.0021    7.4165
    1.6232    0.0021    7.4397
    1.6290    0.0021    7.4629
    1.6348    0.0021    7.4859
    1.6405    0.0021    7.5089
    1.6463    0.0021    7.5317
    1.6521    0.0021    7.5544
    1.6579    0.0021    7.5770
    1.6636    0.0021    7.5996
    1.6694    0.0021    7.6220
    1.6752    0.0021    7.6443
    1.6810    0.0021    7.6665
    1.6868    0.0021    7.6886
    1.6925    0.0021    7.7106
    1.6983    0.0021    7.7325
    1.7041    0.0022    7.7542
    1.7099    0.0022    7.7759
    1.7156    0.0022    7.7975
    1.7214    0.0022    7.8190
    1.7272    0.0022    7.8404
    1.7330    0.0022    7.8617
    1.7387    0.0022    7.8829
    1.7445    0.0022    7.9040
    1.7503    0.0022    7.9250
    1.7561    0.0022    7.9459
    1.7619    0.0022    7.9667
    1.7676    0.0022    7.9875
    1.7734    0.0022    8.0081
    1.7792    0.0022    8.0286
    1.7850    0.0022    8.0491
    1.7907    0.0022    8.0694
    1.7965    0.0022    8.0897
    1.8023    0.0023    8.1098
    1.8081    0.0023    8.1299
    1.8139    0.0023    8.1499
    1.8196    0.0023    8.1698
    1.8254    0.0023    8.1896
    1.8312    0.0023    8.2093
    1.8370    0.0023    8.2289
    1.8427    0.0023    8.2485
    1.8485    0.0023    8.2679
    1.8543    0.0023    8.2873
    1.8601    0.0023    8.3066
    1.8659    0.0023    8.3258
    1.8716    0.0023    8.3449
    1.8774    0.0023    8.3639
    1.8832    0.0023    8.3829
    1.8890    0.0023    8.4017
    1.8947    0.0023    8.4205
    1.9005    0.0023    8.4392
    1.9063    0.0023    8.4578
    1.9121    0.0024    8.4763
    1.9178    0.0024    8.4948
    1.9236    0.0024    8.5132
    1.9294    0.0024    8.5315
    1.9352    0.0024    8.5497
    1.9410    0.0024    8.5678
    1.9467    0.0024    8.5858
    1.9525    0.0024    8.6038
    1.9583    0.0024    8.6217
    1.9641    0.0024    8.6395
    1.9698    0.0024    8.6573
    1.9756    0.0024    8.6750
    1.9814    0.0024    8.6925
    1.9872    0.0024    8.7101
    1.9930    0.0024    8.7275
    1.9987    0.0024    8.7449
    2.0045    0.0024    8.7622
    2.0103    0.0024    8.7794
    2.0161    0.0024    8.7965
    2.0218    0.0024    8.8136
    2.0276    0.0025    8.8306
    2.0334    0.0025    8.8475
    2.0392    0.0025    8.8644
    2.0449    0.0025    8.8811
    2.0507    0.0025    8.8979
    2.0565    0.0025    8.9145
    2.0623    0.0025    8.9311
    2.0681    0.0025    8.9476
    2.0738    0.0025    8.9640
    2.0796    0.0025    8.9804
    2.0854    0.0025    8.9967
    2.0912    0.0025    9.0129
    2.0969    0.0025    9.0291
    2.1027    0.0025    9.0451
    2.1085    0.0025    9.0612
    2.1143    0.0025    9.0771
    2.1201    0.0025    9.0930
    2.1258    0.0025    9.1088
    2.1316    0.0025    9.1246
    2.1374    0.0025    9.1403
    2.1432    0.0025    9.1559
    2.1489    0.0025    9.1715
    2.1547    0.0026    9.1870
    2.1605    0.0026    9.2024
    2.1663    0.0026    9.2178
    2.1720    0.0026    9.2331
    2.1778    0.0026    9.2484
